Rk,Name,Prfct,Gcar,Gtm,Year,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24
63,Kenny Rogers*,Y,343,102,1994,Jul 28,TEX,,CAL,"W,4-0",SHO,W,5,9,0,0,0,0,8,0,0,4.07,27,98,64,22,10,7,12,1,3,0,95,0,0,0,27,0,0,0,0,0,0,0.5,0.359,0.89,0.38%,5.22
64,Scott Erickson,,122,22,1994,Apr 27,MIN,,MIL,"W,6-0",SHO,W,4,9,0,0,0,4,5,0,1,5.28,31,128,71,25,9,14,7,3,1,0,88,0,0,0,26,0,0,0,1,0,0,0.47,0.31,0.29,0.11%,5.27
65,Kent Mercker*,,185,5,1994,Apr 8,ATL,@,LAD,"W,6-0",SHO,W,99,9,0,0,0,4,10,0,0,0,31,131,85,26,18,10,7,1,0,0,93,1,0,0,27,0,0,0,0,0,0,0.72,0.371,0.81,0.25%,4.37
66,Darryl Kile,,87,139,1993,Sep 8,HOU,,NYM,"W,7-1",CG,W,4,9,0,1,0,1,9,0,0,3.13,28,83,59,20,12,4,14,4,3,0,93,0,0,0,27,0,0,0,0,0,0,0.6,0.312,0,0.00%,3.29
67,Jim Abbott*,,152,137,1993,Sep 4,NYY,,CLE,"W,4-0",SHO,W,5,9,0,0,0,5,3,0,0,4.1,30,119,66,19,9,15,7,1,0,0,85,0,0,0,25,0,0,0,2,0,0,0.62,0.351,2.31,0.79%,4.61
68,Chris Bosio,,216,15,1993,Apr 22,SEA,,BOS,"W,7-0",SHO,W,3,9,0,0,0,2,4,0,0,3.14,28,97,59,15,9,16,6,3,1,0,89,0,0,0,26,0,0,0,1,0,0,0.47,0.25,0.47,0.15%,4.8
69,Kevin Gross,,337,118,1992,Aug 17,LAD,,SFG,"W,2-0",SHO,W,4,9,0,0,0,2,6,0,1,3.37,29,99,71,16,18,12,8,1,2,0,91,0,0,0,26,0,0,0,1,0,0,1.02,0.507,0,0.00%,3.84
70,Bret Saberhagen,,246,124,1991,Aug 26,KCR,,CHW,"W,7-0",SHO,W,4,9,0,0,0,2,5,0,0,2.92,30,114,74,17,9,13,10,4,0,0,90,0,0,0,28,0,0,0,0,0,1,0.35,0.199,0.07,0.02%,4.49
71,Wilson Alvarez*,,2,110,1991,Aug 11,CHW,@,BAL,"W,7-0",SHO,W,99,9,0,0,0,5,7,0,0,0,32,128,75,14,15,3,17,4,5,0,89,0,0,0,27,0,0,0,1,0,1,0.32,0.214,0.94,0.38%,4.31
72,Dennis Martinez,Y,482,98,1991,Jul 28,MON,@,LAD,"W,2-0",SHO,W,4,9,0,0,0,0,5,0,0,2.05,27,96,66,12,14,17,5,0,1,0,92,0,0,0,27,0,0,0,0,0,0,0.87,0.574,0,0.00%,4.04
73,Tommy Greene,,30,40,1991,May 23,PHI,@,MON,"W,2-0",SHO,W,5,9,0,0,0,7,10,0,0,2.53,33,130,77,15,16,10,6,2,1,0,90,2,1,0,25,0,0,0,0,0,0,1.52,0.697,1.71,0.47%,4.08
74,Nolan Ryan,,745,17,1991,May 1,TEX,,TOR,"W,3-0",SHO,W,4,9,0,0,0,2,16,0,0,3.03,29,122,83,22,29,3,8,1,5,0,101,0,0,0,27,0,0,0,0,0,0,0.62,0.408,0.72,0.29%,4.4
75,Dave Stieb,,384,134,1990,Sep 2,TOR,@,CLE,"W,3-0",SHO,W,4,9,0,0,0,4,9,0,0,2.91,29,123,75,23,17,6,10,1,3,0,92,0,2,0,25,0,0,0,0,0,0,0.96,0.554,0.93,0.32%,4.31
76,Terry Mulholland*,,73,114,1990,Aug 15,PHI,,SFG,"W,6-0",SHO,W,4,9,0,0,0,0,8,0,0,3.99,27,105,75,13,17,9,10,8,1,0,95,0,0,0,27,0,0,0,1,0,1,0.5,0.326,0.01,0.00%,4.19
77,Fernando Valenzuela*,,314,73,1990,Jun 29,LAD,,STL,"W,6-0",SHO,W,4,9,0,0,0,3,7,0,0,3.73,30,119,72,18,14,9,11,1,1,0,91,0,0,0,27,0,0,0,1,0,1,0.72,0.394,0.41,0.14%,4.1
78,Dave Stewart,,374,72,1990,Jun 29,OAK,@,TOR,"W,5-0",SHO,W,4,9,0,0,0,3,12,0,0,2.55,29,115,81,16,19,6,8,0,2,0,96,0,1,0,26,0,0,0,0,0,0,0.55,0.341,1.39,0.52%,4.61
79,Nolan Ryan,,720,58,1990,Jun 11,TEX,@,OAK,"W,5-0",SHO,W,4,9,0,0,0,2,14,0,0,4.32,29,130,86,18,31,4,9,2,2,0,99,1,0,0,27,0,0,0,0,0,0,0.49,0.264,0.06,0.02%,4.13
80,Randy Johnson*,,44,51,1990,Jun 2,SEA,,DET,"W,2-0",SHO,W,5,9,0,0,0,6,8,0,0,4.1,33,138,88,25,14,7,12,1,6,0,89,0,0,0,27,0,0,0,1,0,1,1.19,0.551,0.31,0.09%,4.35
81,Tom Browning*,Y,145,146,1988,Sep 16,CIN,,LAD,"W,1-0",SHO,W,4,9,0,0,0,0,7,0,0,3.41,27,101,72,14,13,10,10,0,2,0,94,0,0,0,27,0,0,0,0,0,0,1.05,0.694,0.23,0.09%,4.02
82,Juan Nieves*,,37,9,1987,Apr 15,MIL,@,BAL,"W,7-0",SHO,W,4,9,0,0,0,5,7,0,0,3.77,31,128,76,12,11,3,16,3,3,0,89,0,0,0,26,0,0,0,1,0,0,0.75,0.46,1.72,0.63%,4.8
83,Mike Scott,,211,153,1986,Sep 25,HOU,,SFG,"W,2-0",SHO,W,4,9,0,0,0,2,13,0,1,2.25,30,,,,,9,5,0,0,0,98,2,0,0,27,0,0,0,0,0,0,1.08,0.57,0,0.00%,4.04
84,Joe Cowley,,87,147,1986,Sep 19,CHW,@,CAL,"W,7-1",CG,W,4,9,0,1,1,7,8,0,0,3.88,32,,,,,4,13,1,0,0,84,1,1,0,24,0,0,0,1,1,0,1.13,0.35,0,0.00%,3.6
85,Mike Witt,Y,132,162,1984,Sep 30,CAL,@,TEX,"W,1-0",SHO,W,4,9,0,0,0,0,10,0,0,3.47,27,,,,,13,4,0,0,0,97,0,0,0,27,0,0,0,0,0,0,1.18,0.812,0,0.00%,4.58
86,Jack Morris,,199,4,1984,Apr 7,DET,@,CHW,"W,4-0",SHO,W,3,9,0,0,0,6,8,0,0,0.56,32,,,,,11,7,1,2,0,89,1,0,0,26,0,0,0,1,0,0,0.88,0.386,1.32,0.35%,4.67
87,Mike Warren,,12,159,1983,Sep 29,OAK,,CHW,"W,3-0",SHO,W,4,9,0,0,0,3,5,0,0,4.11,29,,,,,5,16,0,0,0,89,0,1,0,26,0,0,0,0,0,0,0.7,0.396,0,0.00%,4.2
88,Bob Forsch,,308,157,1983,Sep 26,STL,,MON,"W,3-0",SHO,W,5,9,0,0,0,0,6,0,1,4.37,29,,,,,12,10,0,2,0,93,0,0,0,28,0,0,0,0,0,1,0.69,0.426,0,0.00%,4.16
89,Dave Righetti*,,68,76,1983,Jul 4,NYY,,BOS,"W,4-0",SHO,W,4,9,0,0,0,4,9,0,0,3.26,29,,,,,5,11,0,0,0,92,0,1,1,25,0,0,0,1,0,0,0.83,0.509,1.53,0.56%,4.34
90,Nolan Ryan,,451,102,1981,Sep 26,HOU,,LAD,"W,5-0",SHO,W,5,9,0,0,0,3,11,0,0,1.74,30,,,,,11,5,0,1,0,95,2,0,0,27,0,0,0,0,0,0,0.95,0.429,3.52,0.95%,3.7
91,Len Barker,Y,116,24,1981,May 15,CLE,,TOR,"W,3-0",SHO,W,5,9,0,0,0,0,11,0,0,1.31,27,,,,,9,7,0,0,0,98,0,0,0,27,0,0,0,0,0,0,0.71,0.474,0.71,0.28%,4.05
92,Charlie Lea,,27,27,1981,May 10(2),MON,,SFG,"W,4-0",SHO,W,3,9,0,0,0,4,8,0,0,4.05,29,,,,,8,9,1,0,0,91,0,1,0,25,0,0,0,1,0,0,0.78,0.448,0.65,0.22%,3.93
93,Jerry Reuss*,,341,70,1980,Jun 27,LAD,@,SFG,"W,8-0",SHO,W,5,9,0,0,0,0,2,0,0,1.87,28,,,,,18,8,0,0,0,89,0,0,0,28,0,0,0,0,0,1,0.36,0.227,0.9,0.34%,3.91
